id,data_inicio,data_fim,cliente_id,preco_id
86,19/11/2019,28/06/2017,86,86
87,04/03/2020,14/05/2019,87,87
88,30/05/2018,04/01/2021,88,88
89,25/02/2019,17/10/2019,89,89
90,25/09/2021,21/04/2020,90,90
91,11/02/2019,27/10/2021,91,91
92,20/08/2018,05/02/2020,92,92
93,02/09/2021,27/12/2021,93,93
94,26/07/2016,16/08/2020,94,94
95,18/10/2015,25/02/2016,95,95
96,14/04/2018,03/10/2016,96,96
97,20/02/2022,27/08/2015,97,97
98,13/01/2021,21/11/2019,98,98
99,18/12/2016,14/06/2018,99,99
100,18/11/2018,13/03/2019,100,100
101,16/03/2016,01/01/2018,101,101
102,21/09/2016,13/10/2018,102,102
103,11/10/2020,20/09/2021,103,103
104,12/06/2017,08/07/2015,104,104
105,15/09/2015,15/08/2015,105,105
106,21/10/2020,05/03/2020,106,106
107,12/04/2017,02/11/2019,107,107
108,28/11/2021,11/06/2016,108,108
109,31/12/2020,09/06/2019,109,109
110,10/07/2018,27/04/2019,110,110
111,02/08/2018,17/07/2020,111,111
112,18/10/2021,13/09/2019,112,112
113,09/06/2015,13/08/2016,113,113
114,01/04/2019,21/02/2016,114,114
115,28/08/2021,09/07/2019,115,115
116,22/03/2018,21/08/2019,116,116
117,13/10/2016,28/06/2016,117,117
118,17/11/2021,19/08/2015,118,118
119,05/11/2018,15/02/2019,119,119
120,05/12/2018,27/10/2020,120,120
121,13/04/2020,14/05/2017,121,121
122,28/10/2015,23/10/2020,122,122
123,24/08/2016,27/07/2018,123,123
124,01/08/2021,16/02/2020,124,124
125,30/07/2015,29/06/2018,125,125
126,16/12/2020,22/11/2021,126,126
127,01/06/2017,21/04/2020,127,127
128,09/07/2020,06/09/2018,128,128
129,17/11/2016,06/12/2020,129,129
130,04/03/2017,20/10/2019,130,130
131,19/09/2019,30/04/2017,131,131
132,06/12/2021,19/05/2019,132,132
133,01/04/2021,17/09/2019,133,133
134,14/09/2020,10/03/2017,134,134
135,26/07/2016,12/06/2021,135,135
136,03/03/2020,26/08/2018,136,136
137,23/06/2019,15/03/2022,137,137
138,21/01/2022,14/12/2021,138,138
139,26/12/2016,05/02/2016,139,139
140,07/07/2017,25/06/2017,140,140
141,20/02/2019,14/11/2015,141,141
142,18/10/2016,27/11/2019,142,142
143,20/10/2021,10/04/2019,143,143
144,21/01/2017,24/05/2015,144,144
145,21/12/2021,29/09/2018,145,145
146,18/03/2021,03/02/2019,146,146
147,22/07/2015,12/03/2017,147,147
148,22/11/2019,29/01/2019,148,148
149,01/01/2022,27/03/2022,149,149
150,19/03/2018,01/06/2020,150,150
151,14/09/2020,25/07/2019,151,151
152,28/11/2021,11/09/2019,152,152
153,21/04/2017,15/01/2019,153,153
154,01/05/2020,25/10/2019,154,154
155,13/05/2015,15/07/2017,155,155
156,26/10/2018,11/03/2022,156,156
157,12/10/2015,14/02/2022,157,157
158,09/02/2020,18/08/2016,158,158
159,08/05/2021,05/01/2022,159,159
160,08/06/2018,28/03/2019,160,160
161,30/09/2018,19/06/2017,161,161
162,21/09/2021,25/05/2021,162,162
163,13/09/2016,12/10/2018,163,163
164,07/09/2020,27/03/2018,164,164
165,19/12/2018,13/11/2017,165,165
166,03/10/2020,02/05/2021,166,166
167,18/02/2016,03/06/2021,167,167
168,05/10/2020,06/08/2018,168,168
169,27/10/2015,16/03/2021,169,169
170,04/03/2021,23/06/2017,170,170
171,22/09/2018,30/03/2021,171,171
172,15/12/2015,09/04/2018,172,172
173,04/08/2016,30/07/2021,173,173
174,15/01/2016,09/02/2021,174,174
175,27/08/2019,08/09/2020,175,175
176,29/12/2019,10/02/2017,176,176
177,29/07/2020,14/09/2020,177,177
178,22/12/2016,02/03/2018,178,178
179,05/08/2019,07/01/2017,179,179
180,16/12/2017,03/07/2017,180,180
181,21/06/2019,15/02/2019,181,181
182,28/04/2020,26/02/2019,182,182
183,25/07/2015,29/06/2019,183,183
184,27/08/2021,19/09/2017,184,184
185,01/05/2019,04/07/2019,185,185
186,18/02/2021,04/02/2018,186,186
187,23/02/2022,30/06/2016,187,187
188,17/01/2019,24/07/2019,188,188
189,11/09/2015,08/08/2016,189,189
190,17/04/2016,08/01/2020,190,190
191,05/08/2016,19/12/2021,191,191
192,11/03/2016,25/02/2016,192,192
193,13/03/2018,08/10/2015,193,193
194,23/08/2021,30/09/2017,194,194
195,04/12/2015,07/11/2017,195,195
196,15/09/2018,22/08/2017,196,196
197,27/07/2021,28/05/2016,197,197
198,18/12/2017,29/03/2017,198,198
199,17/07/2019,19/08/2015,199,199
200,23/04/2016,02/10/2021,200,200
201,23/02/2019,13/05/2018,201,201
202,04/06/2015,09/09/2020,202,202
203,15/09/2016,14/04/2022,203,203
204,20/05/2019,19/03/2017,204,204
205,11/11/2017,14/02/2021,205,205
206,28/01/2018,30/09/2016,206,206
207,04/08/2018,01/04/2018,207,207
208,30/04/2020,30/09/2020,208,208
209,14/09/2015,20/12/2016,209,209
210,30/07/2020,01/08/2016,210,210
211,02/12/2016,05/05/2017,211,211
212,05/05/2015,07/12/2018,212,212
213,30/03/2021,11/01/2017,213,213
214,27/11/2018,10/09/2021,214,214
215,30/12/2019,05/06/2015,215,215
216,13/08/2017,11/11/2019,216,216
217,01/12/2018,16/08/2018,217,217
218,27/03/2021,13/09/2015,218,218
219,02/07/2016,18/10/2020,219,219
220,07/05/2016,19/10/2019,220,220
221,20/07/2019,08/02/2017,221,221
222,07/10/2020,03/03/2017,222,222
223,23/05/2021,24/04/2018,223,223
224,30/09/2017,27/03/2020,224,224
225,12/01/2019,20/11/2015,225,225
226,26/05/2016,10/01/2021,226,226
227,29/08/2020,18/05/2016,227,227
228,03/02/2016,14/04/2022,228,228
229,17/01/2017,19/10/2017,229,229
230,19/06/2017,22/09/2017,230,230
231,03/09/2019,10/01/2018,231,231
232,19/11/2018,30/04/2018,232,232
233,25/03/2019,31/01/2022,233,233
234,11/05/2018,27/12/2017,234,234
235,03/11/2015,14/01/2018,235,235
236,12/07/2020,15/03/2019,236,236
237,23/08/2018,11/08/2016,237,237
238,08/09/2017,01/01/2018,238,238
239,13/03/2017,21/08/2018,239,239
240,01/05/2019,29/08/2020,240,240
241,02/02/2022,02/08/2015,241,241
242,18/02/2019,27/06/2015,242,242
243,14/03/2021,03/03/2021,243,243
244,13/09/2021,11/08/2019,244,244
245,18/04/2016,08/05/2020,245,245
246,23/09/2015,11/11/2015,246,246
247,11/07/2021,16/08/2018,247,247
248,19/11/2017,01/11/2019,248,248
249,09/07/2019,04/10/2015,249,249
250,21/08/2016,18/09/2018,250,250
251,11/05/2017,16/02/2022,251,251
252,22/03/2017,02/06/2015,252,252
253,25/03/2018,04/12/2020,253,253
254,22/02/2022,03/11/2015,254,254
255,27/03/2016,28/08/2019,255,255
256,29/01/2020,18/01/2020,256,256
257,02/07/2017,19/11/2020,257,257
258,23/12/2016,23/06/2019,258,258
259,16/07/2021,11/06/2017,259,259
260,20/10/2020,11/05/2018,260,260
261,05/05/2021,11/10/2021,261,261
262,20/10/2021,18/11/2021,262,262
263,11/07/2020,07/10/2020,263,263
264,01/12/2017,05/09/2015,264,264
265,09/08/2021,18/11/2017,265,265
266,07/11/2020,29/11/2020,266,266
267,30/08/2020,23/12/2016,267,267
268,30/08/2020,28/07/2017,268,268
269,18/10/2016,26/01/2022,269,269
270,06/08/2020,05/08/2016,270,270
271,19/10/2020,31/12/2017,271,271
272,11/03/2018,01/09/2016,272,272
273,22/11/2020,27/05/2015,273,273
274,30/11/2015,24/09/2017,274,274
275,04/10/2018,24/05/2017,275,275
276,21/11/2018,19/01/2019,276,276
277,14/04/2018,13/10/2017,277,277
278,16/01/2017,12/05/2020,278,278
279,09/01/2018,28/11/2018,279,279
280,23/12/2020,30/07/2019,280,280
281,07/06/2017,05/03/2017,281,281
282,08/05/2016,15/05/2015,282,282
283,04/07/2021,13/12/2019,283,283
284,15/05/2016,17/06/2020,284,284
285,27/05/2020,08/12/2015,285,285
286,20/05/2016,18/03/2016,286,286
287,14/08/2017,23/09/2019,287,287
288,14/01/2021,31/12/2019,288,288
289,13/09/2019,10/01/2018,289,289
290,18/09/2015,11/08/2019,290,290
291,15/12/2019,24/09/2021,291,291
292,09/08/2016,09/07/2017,292,292
293,03/02/2018,13/07/2018,293,293
294,21/01/2018,21/01/2021,294,294
295,16/11/2018,10/02/2016,295,295
296,18/11/2021,20/10/2016,296,296
297,14/08/2015,10/12/2016,297,297
298,23/07/2020,12/02/2022,298,298
299,13/08/2021,06/01/2022,299,299
300,20/03/2021,19/10/2021,300,300
301,29/10/2020,06/04/2020,301,301
302,21/01/2018,01/12/2015,302,302
303,11/09/2018,30/09/2016,303,303
304,04/10/2019,08/03/2022,304,304
305,02/06/2017,23/02/2018,305,305
306,23/09/2017,21/09/2021,306,306
307,07/06/2016,02/10/2021,307,307
308,25/11/2021,19/09/2019,308,308
309,13/01/2018,14/04/2016,309,309
310,21/11/2019,13/10/2017,310,310
311,06/08/2016,09/10/2015,311,311
312,24/08/2021,03/04/2017,312,312
313,18/08/2019,28/02/2019,313,313
314,21/02/2021,23/05/2018,314,314
315,01/02/2020,23/01/2021,315,315
316,08/02/2018,01/01/2018,316,316
317,10/12/2016,14/02/2018,317,317
318,03/10/2020,09/07/2018,318,318
319,31/12/2018,15/02/2021,319,319
320,27/08/2021,26/07/2017,320,320
321,27/05/2015,12/04/2021,321,321
322,15/12/2016,26/02/2020,322,322
323,29/10/2015,23/12/2019,323,323
324,30/08/2017,22/07/2016,324,324
325,06/02/2020,22/09/2017,325,325
326,13/11/2015,17/08/2021,326,326
327,22/12/2021,18/04/2018,327,327
328,17/09/2019,21/04/2018,328,328
329,05/10/2019,17/12/2020,329,329
330,30/07/2015,02/03/2020,330,330
331,07/10/2017,25/09/2015,331,331
332,09/03/2016,09/09/2017,332,332
333,03/08/2017,07/02/2019,333,333
334,10/12/2019,04/02/2018,334,334
335,10/08/2017,05/03/2016,335,335
336,02/11/2017,07/06/2016,336,336
337,11/03/2018,08/05/2017,337,337
338,16/11/2019,02/11/2019,338,338
339,18/11/2016,12/11/2018,339,339
340,16/09/2017,13/08/2018,340,340
341,16/01/2018,04/05/2021,341,341
342,16/07/2018,08/10/2020,342,342
343,18/10/2020,14/09/2020,343,343
344,09/06/2019,08/10/2021,344,344
345,11/04/2019,31/05/2015,345,345
346,14/10/2018,04/08/2018,346,346
347,22/08/2015,30/09/2019,347,347
348,08/02/2016,07/07/2021,348,348
349,08/05/2021,03/05/2021,349,349
350,18/06/2015,18/02/2019,350,350
351,27/10/2019,01/07/2017,351,351
352,13/07/2017,25/02/2016,352,352
353,29/07/2017,11/09/2015,353,353
354,21/07/2019,02/07/2015,354,354
355,07/06/2016,24/08/2018,355,355
356,08/05/2017,14/05/2015,356,356
357,11/11/2015,29/01/2022,357,357
358,11/04/2016,29/10/2016,358,358
359,28/02/2022,08/06/2018,359,359
360,28/05/2017,21/02/2021,360,360
361,08/02/2021,28/12/2020,361,361
362,22/11/2019,02/01/2018,362,362
363,27/12/2019,06/01/2016,363,363
364,19/11/2019,05/04/2021,364,364
365,24/10/2020,08/08/2018,365,365
366,19/04/2016,16/03/2019,366,366
367,05/10/2017,16/09/2020,367,367
368,19/01/2022,28/07/2017,368,368
369,30/10/2019,19/08/2015,369,369
370,21/01/2016,24/04/2022,370,370
371,13/06/2016,22/08/2019,371,371
372,30/06/2019,14/11/2016,372,372
373,15/01/2017,17/02/2022,373,373
374,19/02/2016,25/03/2019,374,374
375,08/02/2021,07/03/2020,375,375
376,30/10/2016,19/08/2017,376,376
377,26/04/2016,20/10/2017,377,377
378,12/04/2022,30/05/2018,378,378
379,07/01/2016,17/03/2021,379,379
380,14/12/2019,11/08/2019,380,380
381,26/02/2021,27/02/2018,381,381
382,21/01/2022,22/11/2015,382,382
383,30/03/2018,04/08/2015,383,383
384,01/01/2020,28/07/2015,384,384
385,18/04/2016,01/08/2019,385,385
386,03/11/2020,27/04/2021,386,386
387,25/07/2017,23/02/2019,387,387
388,01/08/2018,19/04/2016,388,388
389,10/04/2022,06/06/2017,389,389
390,17/08/2015,27/11/2015,390,390
391,11/08/2019,13/12/2019,391,391
392,22/12/2021,11/07/2018,392,392
393,10/07/2015,13/12/2020,393,393
394,24/09/2016,05/02/2019,394,394
395,06/01/2021,23/06/2017,395,395
396,21/03/2016,21/11/2016,396,396
397,10/01/2019,05/10/2018,397,397
398,20/05/2017,21/05/2016,398,398
399,27/01/2016,21/09/2018,399,399
400,25/07/2017,05/09/2021,400,400
401,06/04/2017,06/01/2018,401,401
402,26/05/2017,13/11/2021,402,402
403,14/03/2016,03/10/2021,403,403
404,17/08/2018,13/11/2018,404,404
405,18/10/2018,26/04/2016,405,405
406,18/05/2015,12/10/2018,406,406
407,31/01/2016,20/10/2015,407,407
408,05/09/2021,01/12/2018,408,408
409,27/12/2019,18/09/2020,409,409
410,15/01/2022,01/03/2020,410,410
411,18/11/2016,20/06/2021,411,411
412,10/07/2021,20/08/2016,412,412
413,04/06/2015,27/04/2018,413,413
414,29/09/2016,28/04/2017,414,414
415,16/05/2021,14/01/2019,415,415
416,06/11/2017,29/05/2020,416,416
417,01/04/2019,14/09/2019,417,417
418,11/11/2015,13/07/2019,418,418
419,12/07/2017,17/09/2020,419,419
420,05/09/2018,11/08/2017,420,420
421,11/08/2020,25/08/2017,421,421
422,08/05/2021,28/01/2019,422,422
423,29/09/2016,15/11/2015,423,423
424,11/08/2020,04/03/2022,424,424
425,07/05/2015,18/10/2017,425,425
426,17/03/2018,19/09/2021,426,426
427,18/03/2020,08/03/2021,427,427
428,18/04/2017,31/01/2019,428,428
429,25/01/2019,19/05/2020,429,429
430,03/03/2016,08/05/2018,430,430
431,06/09/2020,18/09/2015,431,431
432,01/05/2020,19/12/2015,432,432
433,13/06/2017,07/12/2015,433,433
434,17/11/2018,23/11/2016,434,434
435,17/08/2017,21/01/2018,435,435
436,08/04/2018,09/01/2017,436,436
437,13/05/2016,30/05/2017,437,437
438,30/01/2018,13/09/2020,438,438
439,17/04/2018,15/01/2020,439,439
440,14/12/2021,24/04/2016,440,440
441,14/12/2017,03/01/2017,441,441
442,14/02/2019,23/07/2020,442,442
443,13/12/2018,10/07/2017,443,443
444,06/01/2017,14/12/2016,444,444
445,13/08/2019,29/08/2017,445,445
446,21/03/2020,02/10/2018,446,446
447,01/11/2021,07/01/2020,447,447
448,31/03/2016,10/06/2018,448,448
449,09/11/2018,17/09/2021,449,449
450,30/11/2018,24/06/2019,450,450
451,15/07/2019,26/09/2017,451,451
452,19/01/2016,11/09/2017,452,452
453,03/03/2021,08/09/2021,453,453
454,24/02/2019,15/12/2016,454,454
455,18/03/2017,09/01/2017,455,455
456,20/04/2016,10/07/2019,456,456
457,17/12/2019,05/11/2020,457,457
458,19/09/2017,06/01/2018,458,458
459,25/08/2020,24/06/2020,459,459
460,10/06/2017,23/01/2017,460,460
461,31/07/2021,08/09/2017,461,461
462,07/10/2020,10/05/2018,462,462
463,10/02/2022,04/01/2019,463,463
464,22/01/2018,08/04/2018,464,464
465,15/04/2016,17/10/2020,465,465
466,28/03/2021,16/08/2020,466,466
467,22/10/2018,16/02/2020,467,467
468,19/10/2020,23/02/2021,468,468
469,03/06/2017,13/04/2017,469,469
470,20/10/2021,02/11/2019,470,470
471,29/06/2021,06/11/2018,471,471
472,21/10/2015,01/11/2018,472,472
473,10/08/2016,06/08/2016,473,473
474,07/10/2018,23/04/2017,474,474
475,20/06/2021,10/10/2019,475,475
476,04/02/2016,01/09/2021,476,476
477,13/01/2016,30/08/2019,477,477
478,23/05/2020,07/10/2021,478,478
479,25/05/2015,17/10/2016,479,479
480,25/02/2017,24/09/2016,480,480
481,23/10/2020,21/01/2021,481,481
482,17/10/2021,05/07/2019,482,482
483,21/11/2019,28/08/2021,483,483
484,16/05/2019,30/09/2020,484,484
485,11/02/2019,05/12/2019,485,485
486,31/03/2017,06/02/2019,486,486
487,28/09/2016,26/05/2018,487,487
488,05/01/2022,13/12/2017,488,488
489,02/09/2019,19/06/2019,489,489
490,10/06/2021,12/07/2016,490,490
491,03/02/2018,31/07/2016,491,491
492,01/12/2016,30/06/2017,492,492
493,03/12/2020,31/08/2020,493,493
494,19/11/2019,18/04/2021,494,494
495,20/08/2019,09/11/2018,495,495
496,28/07/2016,03/02/2019,496,496
497,24/09/2021,07/04/2017,497,497
498,13/12/2019,08/01/2016,498,498
499,06/09/2017,10/03/2018,499,499
500,09/08/2019,09/05/2021,500,500
501,26/06/2021,28/10/2018,501,501
502,24/05/2020,06/04/2021,502,502
503,12/06/2019,01/07/2019,503,503
504,15/12/2015,24/10/2019,504,504
505,28/04/2021,18/05/2019,505,505
506,16/10/2015,05/02/2019,506,506
507,08/05/2016,05/09/2021,507,507
508,28/06/2021,02/07/2021,508,508
509,24/04/2020,14/12/2019,509,509
510,24/08/2021,19/07/2021,510,510
511,01/11/2019,29/06/2016,511,511
512,06/06/2016,31/10/2021,512,512
513,22/03/2016,24/09/2015,513,513
514,24/12/2021,02/05/2016,514,514
515,14/01/2018,22/07/2018,515,515
516,15/07/2020,07/07/2019,516,516
517,21/11/2017,26/09/2017,517,517
518,05/01/2022,24/08/2017,518,518
519,08/03/2020,13/03/2019,519,519
520,21/12/2018,07/03/2018,520,520
521,14/04/2019,30/05/2021,521,521
522,05/05/2016,02/12/2017,522,522
523,03/01/2021,08/11/2018,523,523
524,02/06/2015,09/04/2022,524,524
525,24/11/2019,01/03/2021,525,525
526,07/05/2018,06/09/2018,526,526
527,25/03/2019,12/08/2018,527,527
528,05/09/2018,02/11/2017,528,528
529,30/09/2021,02/12/2015,529,529
530,09/09/2016,29/01/2019,530,530
531,27/01/2017,05/11/2016,531,531
532,28/08/2016,03/04/2016,532,532
533,11/09/2015,07/12/2021,533,533
534,22/02/2022,31/08/2015,534,534
535,10/09/2017,17/10/2017,535,535
536,06/09/2021,08/12/2020,536,536
537,18/03/2020,01/01/2017,537,537
538,27/07/2021,21/02/2018,538,538
539,28/10/2019,21/02/2018,539,539
540,22/08/2020,04/02/2019,540,540
541,21/08/2019,09/01/2020,541,541
542,04/01/2022,28/07/2017,542,542
543,28/06/2016,01/10/2019,543,543
544,08/12/2018,26/01/2022,544,544
545,10/03/2017,09/07/2018,545,545
546,16/06/2020,27/10/2015,546,546
547,19/04/2022,13/08/2019,547,547
548,10/08/2018,01/03/2019,548,548
549,27/07/2018,16/03/2022,549,549
550,31/12/2017,12/02/2020,550,550
551,06/04/2022,04/04/2021,551,551
552,27/12/2015,15/08/2015,552,552
553,06/11/2016,23/09/2018,553,553
554,22/06/2017,24/08/2019,554,554
555,10/02/2020,19/05/2016,555,555
556,29/03/2022,19/11/2018,556,556
557,28/06/2017,21/04/2020,557,557
558,10/05/2016,17/11/2017,558,558
559,23/09/2020,14/07/2017,559,559
560,25/02/2018,02/01/2016,560,560
561,22/06/2017,11/06/2017,561,561
562,29/12/2020,27/08/2015,562,562
563,10/07/2020,08/06/2020,563,563
564,04/04/2018,16/12/2021,564,564
565,11/03/2019,31/08/2016,565,565
566,19/10/2017,24/09/2018,566,566
567,22/02/2016,23/06/2021,567,567
568,03/04/2022,17/01/2019,568,568
569,22/02/2022,21/05/2015,569,569
570,08/02/2019,03/07/2019,570,570
571,13/11/2020,20/08/2018,571,571
572,03/12/2021,14/12/2021,572,572
573,11/05/2020,22/08/2019,573,573
574,24/06/2021,29/02/2016,574,574
575,18/09/2015,20/03/2017,575,575
576,07/07/2020,16/02/2022,576,576
577,22/07/2019,24/09/2015,577,577
578,04/08/2016,31/07/2020,578,578
579,18/09/2015,14/05/2015,579,579
580,02/01/2021,29/03/2020,580,580
581,26/01/2016,26/01/2016,581,581
582,15/12/2021,02/04/2021,582,582
583,06/05/2020,01/10/2021,583,583
584,15/07/2018,13/09/2015,584,584
585,14/09/2019,08/06/2017,585,585
586,28/02/2018,13/01/2020,586,586
587,19/12/2015,12/12/2018,587,587
588,03/07/2019,26/01/2019,588,588
589,06/02/2020,23/09/2018,589,589
590,10/11/2020,27/12/2021,590,590
591,13/01/2016,23/07/2017,591,591
592,10/04/2016,11/04/2016,592,592
593,14/09/2019,14/04/2016,593,593
594,09/04/2020,09/08/2019,594,594
595,21/01/2017,21/07/2020,595,595
596,27/06/2021,10/04/2017,596,596
597,21/09/2021,04/12/2018,597,597
598,04/08/2020,28/12/2017,598,598
599,28/04/2020,09/01/2017,599,599
600,25/03/2022,26/06/2021,600,600
601,08/08/2021,09/08/2018,601,601
602,09/09/2018,16/12/2021,602,602
603,23/07/2018,13/09/2019,603,603
604,06/05/2018,12/05/2017,604,604
605,28/02/2016,08/08/2016,605,605
606,11/10/2015,21/09/2019,606,606
607,04/02/2018,17/08/2021,607,607
608,28/08/2019,17/07/2019,608,608
609,12/07/2019,06/04/2022,609,609
610,17/11/2016,08/06/2018,610,610
611,02/08/2019,05/06/2015,611,611
612,23/07/2021,01/08/2021,612,612
613,19/03/2016,26/10/2016,613,613
614,14/05/2015,28/03/2019,614,614
615,18/04/2020,05/11/2016,615,615
616,20/01/2018,05/01/2020,616,616
617,18/11/2016,08/09/2017,617,617
618,22/05/2020,01/08/2019,618,618
619,02/05/2020,21/02/2018,619,619
620,28/01/2022,21/04/2019,620,620
621,19/09/2021,29/12/2019,621,621
622,17/06/2018,09/01/2016,622,622
623,23/03/2020,03/06/2019,623,623
624,28/11/2017,11/07/2019,624,624
625,27/11/2019,27/03/2020,625,625
626,01/04/2021,28/10/2021,626,626
627,11/12/2015,13/01/2022,627,627
628,31/05/2016,14/11/2020,628,628
629,14/07/2016,13/06/2015,629,629
630,26/10/2016,07/04/2020,630,630
631,16/05/2017,27/08/2021,631,631
632,02/06/2018,25/08/2020,632,632
633,02/09/2020,20/08/2016,633,633
634,05/07/2018,23/02/2017,634,634
635,20/06/2019,14/02/2018,635,635
636,17/11/2020,12/08/2021,636,636
637,19/08/2020,01/12/2015,637,637
638,08/11/2017,10/11/2018,638,638
639,27/04/2016,12/07/2019,639,639
640,13/09/2021,27/08/2016,640,640
641,05/04/2020,25/09/2020,641,641
642,29/08/2019,01/10/2015,642,642
643,11/10/2018,18/04/2021,643,643
644,07/01/2018,07/02/2020,644,644
645,23/05/2019,03/09/2021,645,645
646,31/03/2020,09/06/2017,646,646
647,28/08/2016,21/02/2019,647,647
648,11/09/2015,26/12/2021,648,648
649,07/12/2016,12/10/2018,649,649
650,11/11/2019,20/09/2020,650,650
651,23/06/2021,03/03/2022,651,651
652,01/03/2022,21/05/2016,652,652
653,20/04/2016,10/08/2018,653,653
654,20/11/2015,24/04/2018,654,654
655,11/02/2021,05/08/2019,655,655
656,13/07/2021,03/12/2021,656,656
657,12/09/2021,18/01/2021,657,657
658,16/10/2019,06/10/2017,658,658
659,02/04/2019,02/12/2020,659,659
660,12/09/2020,16/08/2020,660,660
661,16/05/2018,28/01/2019,661,661
662,16/11/2021,27/02/2019,662,662
663,25/10/2019,07/05/2018,663,663
664,07/08/2021,19/02/2016,664,664
665,04/01/2019,20/09/2018,665,665
666,24/03/2018,13/01/2019,666,666
667,10/04/2016,24/11/2021,667,667
668,02/09/2015,17/11/2017,668,668
669,29/04/2016,13/08/2019,669,669
670,04/08/2020,09/06/2018,670,670
671,18/10/2018,27/04/2022,671,671
672,17/02/2016,07/03/2018,672,672
673,29/08/2017,20/02/2022,673,673
674,08/08/2015,29/10/2016,674,674
675,25/11/2016,13/07/2015,675,675
676,12/08/2021,14/09/2017,676,676
677,24/03/2020,13/08/2016,677,677
678,05/10/2019,28/07/2015,678,678
679,18/12/2018,10/11/2019,679,679
680,18/07/2019,17/05/2019,680,680
681,27/10/2016,17/06/2019,681,681
682,18/03/2022,19/05/2017,682,682
683,14/09/2020,25/07/2016,683,683
684,19/08/2018,05/07/2015,684,684
685,05/09/2019,31/01/2017,685,685
686,02/09/2016,14/01/2016,686,686
687,13/02/2022,14/10/2017,687,687
688,05/03/2016,03/10/2015,688,688
689,22/09/2021,16/08/2018,689,689
690,01/04/2022,19/10/2016,690,690
691,01/10/2016,06/09/2018,691,691
692,31/07/2021,10/08/2018,692,692
693,25/06/2015,21/12/2019,693,693
694,23/10/2016,26/06/2020,694,694
695,16/04/2022,13/03/2022,695,695
696,10/06/2015,05/11/2016,696,696
697,07/11/2017,08/01/2018,697,697
